budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
2.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
3.0,swap,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
4.0,add,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
5.0,delete,0.3040764312848323,2.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
6.0,swap,0.2677858814627575,2.0,2.0,0.873597849947558,3.0,0.0,0.0,1.0,1.0
7.0,add,0.873597849947558,3.0,1.0,0.5797645031606764,4.0,1.0,0.0,0.0,0.0
8.0,add,0.873597849947558,4.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
9.0,add,0.873597849947558,4.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
10.0,delete,0.873597849947558,4.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
11.0,swap,0.3040764312848323,4.0,2.0,0.873597849947558,3.0,1.0,0.0,1.0,0.0
12.0,add,0.8684525127287878,5.0,3.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
13.0,delete,0.3040764312848323,5.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
14.0,swap,0.0342989166645149,5.0,3.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
15.0,add,0.8684525127287878,6.0,1.0,0.6103628086996586,4.0,0.0,0.0,1.0,0.0
16.0,add,0.8684525127287878,7.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
17.0,add,0.593610998679049,7.0,2.0,0.8684525127287878,4.0,0.0,1.0,1.0,0.0
18.0,delete,0.2677858814627575,7.0,2.0,0.8684525127287878,3.0,0.0,0.0,1.0,0.0
19.0,swap,0.3023032915018151,7.0,2.0,0.8684525127287878,3.0,0.0,0.0,2.0,0.0
20.0,add,0.873597849947558,8.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
21.0,add,0.8684525127287892,8.0,3.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
22.0,delete,0.2677858814627581,8.0,3.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
23.0,swap,0.873597849947558,8.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
24.0,change,0.873597849947558,9.0,2.0,0.7514063888068443,4.0,1.0,0.0,0.0,0.0
25.0,change,0.873597849947558,10.0,3.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
